euid,siteid,treatmentid,sitecode,eucode,State,ACE_mg/g,%OM_LOI,CO2_24hr,M3_Al,M3_As,M3_B,M3_Ba,AA_Ca,M3_Ca,M3_Cd,Texture_Class,M3_Co,M3_Cr,DTPA_Cu,M3_Cu,Salts_mmho/cm,DTPA_Fe,M3_Fe,AA_K,M3_K,AA_Mg,M3_Mg,DTPA_Mn,M3_Mn,M3_Mo,AA_Na,M3_Na,M3_Ni,M3_P,Olsen_P,M3_Pb,pH,M3_S,b_soc,C%_dry_combustion,N%_dry_combustion,DTPA_Zn,M3_Zn,ECEC,C_Mineralization_Pot,OC_H2O_mg/kg,H3A_IN_ppm,H3A_IP_mg/kg,H3A_NH4_mg/kg,H3A_NO3_mg/kg,H3A_OP_mg/kg,H3A_TP_mg/kg,H3A_ICAPAl,H3A_ICAPCa,H3A_ICAPCu,H3A_ICAPFe,H3A_ICAPK,H3A_ICAPMg,H3A_ICAPMn,H3A_ICAPNa,H3A_ICAPS,H3A_ICAPZn,%OM_LOI2,Buffer_pH,WEN_mg/kg,WEON_mg/kg
293,34,143,USAL01,USAL01025,Alabama,3.017663212,1.0895098963242238,24.27843921,511.784,0.17994,0.6085,7.28182,,506.86,0.05,sand loam,0.21284,1.23726,,5.20559,0.0572,,135.293,,89.7459,,71.2019,,20.4958,,,2.38921,0.19985,93.6625,,2.14112,5.7,12.49876,0.74504,0.74504,0.06433,,4.51085,3.368156724,12.6672,78,3.7,26.2,1,2.8,2,28,125,253,0.96,72,47,51,3.3,11,1.5,1.76,1.7,6.8,10.4,6.8
285,34,141,USAL01,USAL01026,Alabama,3.791590181,1.3656392467789675,23.31117072,557.619,0.15056,0.36712,6.22647,,358.481,0.05,sand loam,0.17492,,,1.74207,0.0492,,139.267,,56.6765,,64.9146,,14.7368,,,1.13389,0.13064,51.019,,2.21303,5.33,11.88856,0.88003,0.88003,0.07798,,1.17837,2.483618993,10.0224,68,1.9,4.9,0.5,1.4,2,7,111,177,0.28,61,23,44,3,10,1.4,0.35,2,6.7,6.5,4.9
277,34,139,USAL01,USAL01027,Alabama,3.900277592,1.387873651771954,30.08205018,650.799,0.21663,0.30903,9.09631,,551.497,0.05,sand loam,0.26408,,,5.73586,0.0801,,163.135,,123.338,,75.3923,,25.3728,,,2.28155,0.2323,179.106,,3.03364,5.49,14.54196,0.89306,0.89306,0.07176,,6.81851,3.711928467,11.309999999999999,79,4.7,42.7,0.9,3.8,1.5,44,122,279,0.81,58,54,55,3.3,12,1.7,2.21,2.2,6.7,10.7,6.4
269,34,137,USAL01,USAL01028,Alabama,3.973042586,1.4723346303501885,27.66387894,719.594,0.17333,0.25932,9.5501,,385.188,0.05,loam,0.31339,,,2.74366,0.073,,153.486,,102.627,,55.8933,,27.5869,,,1.36148,0.1941,128.635,,3.24821,5.07,13.89596,0.83017,0.83017,0.07345,,2.97152,2.660791643,8.5608,77,5,18.5,1,4,2.2,21,144,200,0.39,60,46,41,4.4,10,1.7,0.98,2.1,6.6,10.8,6.5
289,34,142,USAL01,USAL01029,Alabama,3.251465647,1.0938770685579204,17.50755975,611.217,,0.3149,5.57596,,381.922,0.05,sand loam,0.22054,,,0.5051,0.0448,,90.4009,,31.1327,,75.8617,,15.5685,,,1.26614,0.1149,33.4268,,2.35364,5.41,9.01386,0.74959,0.74959,0.06298,,0.75185,2.627127116,10.613999999999999,63,3.7,3.2,1.4,2.4,1.7,5,135,187,0.02,51,13,51,2.6,10,1.5,0.21,1.7,6.8,7.8,4.7
297,34,144,USAL01,USAL01030,Alabama,4.393535052,1.191319796954302,27.18024469,615.036,0.18775,0.41044,5.83144,,590.974,0.05,sand loam,0.25467,,,7.66426,0.0723,,153.874,,82.7967,,75.4608,,24.7664,,,2.78277,0.22645,197.068,,2.58103,5.6,10.05656,0.96211,0.96211,0.07927,,8.86822,3.808110743,10.6488,73,4.2,50.4,0.8,3.4,1.4,52,124,306,1.02,58,49,58,3.5,12,2.2,2.81,1.8,6.7,11.7,7.5
273,34,138,USAL01,USAL01031,Alabama,2.8958249,1.2276271186440724,17.0239255,610.233,0.1,0.33161,4.44472,,339.688,0.05,sand loam,0.14165,,,0.50885,0.0959,,68.7914,,37.9757,,73.5107,,10.1115,,,1.99687,0.05,73.2069,,2.52331,5.05,9.70016,0.6681,0.6681,0.05965,,0.68433,2.417093712,9.1176,65,13.8,10.9,3.7,10.1,2.4,13,145,188,0.07,44,22,53,2.3,11,1.8,0.23,1.7,6.7,18.4,5
281,34,140,USAL01,USAL01032,Alabama,3.654053214,1.5911382113821146,35.88566114,611.092,0.17517,0.36011,6.82744,,562.834,0.05,sand loam,0.22166,,,8.06419,0.0717,,98.517,,91.0012,,72.9105,,23.2398,,,2.64777,0.23672,212.666,,2.29588,5.5,9.12866,0.78037,0.78037,0.07166,,9.88971,3.666609116,9.987599999999999,75,5.4,58.1,1.4,3.9,2.1,60,131,276,1.05,46,56,51,3,12,1.7,3.38,2.1,6.7,12.4,8.1
298,35,145,USAL02,USAL02001,Alabama,0.781306734,0.9040623734305393,15.86320331,469.659,,0.2506205,4.38974,497.547,598.698,0.025,sand loam,0.163181,,0.162255,0.41961,0.0737,5.0742,37.8626,68.8544,92.7751,98.7918,128.089,2.37062,14.3754,,8.8791,1.65924,0.0995974,156.891,23.9363,1.91428,7.46,8.81914,0.347692568,0.347692568,0.025265112,0.438988,1.11985,4.305997327,2.1923999999999997,110,5.2,120.5,4.4,0.8,6.3,127,98,769,0.13,16,64,138,5.5,9,2.2,0.52,1.1,7.2,9.9,6.2
301,35,147,USAL02,USAL02002,Alabama,4.975464151,2.4059832635983396,34.2413047,519.916,,0.23733,4.45158,,672.553,0.05,sand loam,0.1242,,,0.35724,0.1269,,108.886,,89.5461,,64.9387,,9.1013,,,0.97704,0.11788,122.396,,2.52962,5.44,9.66063,1.501623789,1.501623789,0.116940236,,1.27201,4.137777849,18.5136,155,16.1,37.4,6.5,9.6,5.1,43,368,466,0.19,182,60,58,4.2,10,4.5,0.67,2.3,7.2,26.4,13.1
302,35,148,USAL02,USAL02003,Alabama,6.628620538,2.558191190253045,36.65947594,529.765,0.20712,0.25961,4.14062,,690.185,0.05,sand loam,0.15025,,,0.31086,0.1586,,103.558,,83.7982,,90.0275,,9.35138,,,1.38209,0.05,133.835,,2.04791,5.42,10.56223,1.519815458,1.519815458,0.117748702,,1.54886,4.422034235,19.3836,140,15.5,33.9,5.3,10.2,6.1,40,336,398,0.15,163,64,72,3.8,10,4.1,0.7,2.5,7.2,24.5,10.2
304,35,150,USAL02,USAL02004,Alabama,5.310779083,2.391359223300955,33.27403621,501.726,0.13793,0.33292,4.27645,,641.967,0.05,sand loam,0.10924,,,0.31966,0.1401,,92.1822,,75.5066,,53.0062,,11.0401,,,1.86893,0.11874,110.394,,2.52979,5.2,9.45273,1.426931158,1.426931158,0.112610297,,0.97329,3.853292092,16.9824,139,18.9,30.2,8.5,10.4,4.1,34,239,363,0.16,113,56,45,4.4,10,3.4,0.48,2.3,7.2,26.6,11.7
305,35,151,USAL02,USAL02005,Alabama,4.972897352,3.249125248508935,42.94672115,599.887,0.10543,0.23328,3.78807,,720.265,0.05,sand loam,0.13305,,,0.30808,0.1653,,78.9416,,79.8806,,94.8085,,8.73557,,,1.58172,0.12054,131.755,,2.58215,5.15,13.77513,1.917225203,1.917225203,0.157308921,,1.48741,4.603102008,20.4972,160,18.4,28.8,6.4,12,5.6,34,327,389,0.12,139,60,72,3.3,10,4.7,0.67,3.1,7.2,29.3,12.1
299,35,145,USAL02,USAL02006,Alabama,0.788971817,1.0549162011173256,13.92866632,466.848,,0.12361,4.32662,,405.939,0.05,sand loam,0.1307,,,0.25395,0.0489,,37.6247,,97.0324,,57.9556,,8.66728,,,1.58244,0.05,134.204,,1.92535,6.42,2.69722,0.284871953,0.284871953,0.021856816,,0.57369,2.768339913,4.2456,98,6.3,79.4,5.1,1.2,5.4,85,116,317,0.17,26,66,58,4.6,10,2.1,0.38,1,7.2,9.7,4.6
306,35,152,USAL02,USAL02007,Alabama,5.095363784,2.4661014560826637,28.43769374,491.136,,0.29604,3.87343,,615.878,0.05,sand loam,0.1697,,,0.26777,0.1641,,66.0981,,105.579,,102.471,,10.5449,,,1.4272,0.05,87.325,,2.36991,5.44,9.34403,1.449905321,1.449905321,0.113465948,,1.13522,4.210239233,14.3028,133,29.3,24.2,9.8,19.5,4.6,29,236,375,0.12,109,70,83,4.5,12,4.5,0.58,2.4,7.2,36,11.6
303,35,149,USAL02,USAL02008,Alabama,4.665991962,2.429430122116677,29.88859648,424.7215,0.252034,0.5,3.49646,,647.7501,0.05,sand loam,0.106708,0.5,,0.28969,0.1372,,47.6616,,74.4038,,85.1935,,6.35871,0.5,,400.436,0.25,95.55773,,2.14727,5.22,24.31664,1.2364303,1.2364303,0.099532073,,1.20853,5.88050742,11.797199999999998,127,15.5,36.4,6.5,9,5.9,42,271,363,0.15,136,53,64,3.3,10,5.3,0.67,2.1,7.2,23.8,11.4
307,35,153,USAL02,USAL02009,Alabama,5.89207067,2.644475034997669,41.01218416,432.7725,0.177118,0.5,2.63276,,642.4881,0.05,sand loam,0.161997,0.5,,0.277039,0.1214,,45.1382,,39.5526,,96.6166,,6.48204,0.5,,72.791,0.25,67.87803,,2.40914,5.25,13.06884,1.351999571,1.351999571,0.114470713,,0.92328,4.435483989,18.5136,167,15.3,19.4,7.5,7.8,5.4,25,410,338,0.18,212,40,75,2.8,12,5.1,0.53,2.6,7.2,24.5,13.9
310,35,156,USAL02,USAL02010,Alabama,5.155558599,2.976848681166105,44.88125814,517.987,0.12232,0.33257,4.00753,,669.311,0.05,sand loam,0.16478,,,0.29923,0.0792,,64.507,,27.2245,,102.676,,7.80375,,,1.86559,0.10271,30.9609,,2.28422,5.45,8.92378,1.247023985,1.247023985,0.103041667,,0.93366,4.280109553,20.009999999999998,165,10.6,5.9,8,2.6,3.9,10,307,338,0.16,168,19,65,3.2,11,3.8,0.57,2.7,7.2,21,15.4
309,35,155,USAL02,USAL02011,Alabama,4.313049497,2.7426027397260255,35.69220744,526.487,0.11831,0.24145,3.76921,,620.798,0.05,sandy clay loam,0.1561,,,0.28036,0.0999,,74.2524,,20.8087,,121.007,,6.04679,,,1.60952,0.05,35.9448,,2.02219,5.61,8.50678,1.198717109,1.198717109,0.094812455,,0.72832,4.172737675,11.588399999999998,136,13.5,9.5,5.5,8,3.9,13,284,358,0.14,157,16,87,2.5,10,3.3,0.45,2.6,7.2,22.9,12
308,35,154,USAL02,USAL02012,Alabama,4.737803127,3.2242815674891245,31.82313347,549.283,,0.19016,3.54825,,581.31,0.05,sandy clay loam,0.17911,,,0.29613,0.1416,,76.3836,,58.4972,,69.9723,,6.97236,,,1.4995,0.10445,46.9314,,2.27284,5.14,11.14028,1.354289862,1.354289862,0.104087792,,0.59094,3.64617213,18.8616,155,18.7,10.6,5.5,13.2,3.9,14,295,319,0.16,155,44,54,3,10,4.5,0.33,2.5,6.7,30.3,13.4
300,35,146,USAL02,USAL02013,Alabama,3.726715858,2.3055341586428444,32.30676771,557.969,0.13509,0.16994,3.05415,,580.954,0.05,sand loam,0.13028,,,0.32621,0.0868,,45.6752,,71.8606,,66.8259,,8.63591,,,1.33158,0.05,137.93,,2.34916,5.44,8.06748,1.120938066,1.120938066,0.082307835,,0.84091,3.651703558,10.0224,158,9.9,52.1,5.2,4.7,4.5,57,333,339,0.16,148,53,51,3.8,10,4.2,0.52,1.9,6.8,21,12.5
323,36,160,USAL03,USAL03001,Alabama,4.901860315,1.9052019785655352,29.79186963,471.421,0.68839,0.18701,8.1879,,443.194,0.05,loamy sand,0.31274,,,0.75222,0.0503,,44.6398,,71.0077,,37.97,,65.832,,,1.63851,0.05,37.0434,,3.34448,5.56,5.87298,0.971710406,0.971710406,0.074784049,,1.18099,2.721584403,6.159599999999999,113,6.7,8,6.2,0.5,3.6,12,275,255,0.35,84,53,30,22.6,8,2.1,0.68,1.5,6.8,13.1,9.8
319,36,159,USAL03,USAL03002,Alabama,2.990563201,1.475271565495206,16.25011071,553.99,0.40768,0.13867,9.16465,,249.787,0.05,loamy sand,0.34479,,,0.84868,0.0328,,50.092,,59.8492,,27.255,,73.2476,,,1.24137,0.05,27.3042,,3.55812,5.24,5.50014,0.744873184,0.744873184,0.045908098,,0.86621,1.634922502,5.568,115,5.2,5.2,4.4,0.9,4.4,10,439,162,0.58,131,51,29,26.3,9,2.5,0.68,1.4,6.8,12.5,9.9
324,36,160,USAL03,USAL03003,Alabama,2.687953948,1.1781237911025277,15.28284221,438.762,0.42318,0.24868,6.56311,,257.644,0.05,loamy sand,0.26174,,,0.90675,0.0339,,39.2266,,45.2238,,22.5691,,55.5298,,,1.33452,0.05,21.8811,,2.9082,5.41,4.45261,0.611821993,0.611821993,0.04107882,,0.91597,1.598060446,3.9324,85,7.2,3.4,6.6,0.6,3,6,243,184,0.56,69,39,26,22.5,8,1.8,0.67,1.1,6.8,9.6,6.6
320,36,159,USAL03,USAL03004,Alabama,2.640672868,1.2373913043478093,13.34830522,584.86,,0.3037,9.42209,,168.274,0.05,loamy sand,0.38157,,,0.71237,0.029,,57.7938,,59.747,,22.2433,,75.7371,,,1.44933,0.05,26.5071,,3.89274,5.12,5.15007,0.716045465,0.716045465,0.043506251,,0.93234,1.18623729,4.2804,88,6.3,4.8,5.1,1.2,3.8,9,317,103,0.45,90,53,23,26.8,9,1.9,0.64,1.1,6.8,10.1,7.1
321,36,159,USAL03,USAL03005,Alabama,2.704526056,1.4799651027529979,13.83193947,568.391,,0.20516,9.15142,,285.536,0.05,sand loam,0.35109,,,0.69689,0.0342,,43.4989,,58.9243,,26.8062,,65.201,,,1.4394,0.05,12.5836,,3.28301,5.29,5.60604,0.663375147,0.663375147,0.037905017,,0.95238,1.808416338,4.2456,93,5,1.9,3.7,1.3,2.6,5,325,165,0.45,92,45,29,23.3,9,2.1,0.63,1.5,6.7,10.2,7.1
325,36,160,USAL03,USAL03006,Alabama,2.823524251,1.2815822536317396,15.76647646,513.728,,0.18198,7.38932,,291.813,0.05,loamy sand,0.28667,,,0.85923,0.0353,,39.5074,,54.2136,,26.4614,,53.1858,,,1.32247,0.05,21.537,,3.00703,5.46,5.15153,0.747215301,0.747215301,0.051332169,,1.05098,1.824339234,5.707199999999999,104,4.8,3.9,4.3,0.5,3.7,8,376,188,0.54,111,47,28,21.5,8,2.2,0.82,1.3,6.9,10.3,7.9
326,36,160,USAL03,USAL03007,Alabama,3.41703806,1.412939592150826,17.2173792,471.916,,0.16969,8.68653,,326.268,0.05,loamy sand,0.27591,,,0.57457,0.044,,43.2501,,53.6575,,25.4306,,62.9484,,,1.44829,0.05,26.6753,,3.00204,5.29,4.97307,0.893325537,0.893325537,0.05175171,,1.07811,1.987147042,6.09,111,5.9,5.2,4.6,1.3,3.4,9,254,223,0.3,72,48,25,25.1,10,2.4,0.69,1.3,6.8,12.8,9.8
322,36,159,USAL03,USAL03008,Alabama,2.626871904,1.3820218579235015,13.34830522,575.042,,0.14861,8.0575,,199.642,0.05,loamy sand,0.30215,,,0.64404,0.0278,,45.1992,,59.2309,,21.7885,,61.2782,,,1.30596,0.05,17.0086,,3.20833,5.19,5.00221,0.629559769,0.629559769,0.038974358,,0.83299,1.337339479,4.0367999999999995,97,4.3,2.2,3.9,0.4,3.1,5,354,116,0.45,102,46,20,22,10,2,0.59,1.4,6.8,8,6.6
311,36,157,USAL03,USAL03009,Alabama,2.598920344,1.2110134600158244,17.2173792,494.73,,0.26067,7.87574,,330.5,0.05,loamy sand,0.30381,,,0.75758,0.0333,,44.3567,,42.7926,,20.1989,,59.3905,,,1.36238,0.05,26.5472,,3.83801,5.58,4.16732,0.671843947,0.671843947,0.041505922,,1.12341,1.936474804,4.6284,111,6,5.1,5.4,0.6,3.8,9,271,227,0.48,77,31,22,21.5,10,1.8,0.73,1.3,6.8,11.6,9.1
312,36,157,USAL03,USAL03010,Alabama,2.979275062,1.2503625377643521,20.60281893,496.916,,0.1845,7.19901,,325.525,0.05,loamy sand,0.26615,,,0.74083,0.0333,,48.4093,,41.7496,,24.3845,,57.1116,,,1.41061,0.05,36.2137,,3.40943,5.54,4.1979,0.832906199,0.832906199,0.057913816,,1.24876,1.944015394,5.22,110,4.4,8.4,4.1,0.3,3.9,12,261,218,0.42,73,32,22,20.1,8,1.9,0.75,1.3,6.9,10.9,8.7
315,36,158,USAL03,USAL03011,Alabama,3.851578171,2.1950681198910194,23.98825866,485.182,,0.1737,8.19022,,576.513,0.05,loamy sand,0.251,,,0.7129,0.0481,,47.5368,,41.7365,,30.9936,,62.7744,,,1.36131,0.05,34.2494,,3.39217,5.56,5.11448,0.929687224,0.929687224,0.066539869,,1.51789,3.25378316,5.8464,115,6,6.9,5.6,0.4,3.3,10,208,360,0.3,57,29,27,19.9,9,2.2,0.81,1.4,6.8,11,8.8
316,36,158,USAL03,USAL03012,Alabama,3.504210222,1.269404998016667,20.60281893,465.749,,0.15309,8.24311,,461.412,0.05,loamy sand,0.28663,,,0.78553,0.0398,,48.9443,,36.744,,33.6249,,69.3867,,,1.23274,0.05,46.5574,,3.33419,5.59,4.83073,1.171707131,1.171707131,0.090842409,,2.19281,2.686845194,6.9948,101,5.7,9.1,5.2,0.5,3.7,13,220,268,0.39,59,31,29,21,10,2,2.06,1.4,6.9,10.9,7.4
317,36,158,USAL03,USAL03013,Alabama,4.15466848,1.530479042,26.4064299,486.282,,0.14167,7.83934,,387.974,0.05,loamy sand,0.2657,,,0.81755,0.0431,,51.1431,,42.6576,,28.7845,,65.3723,,,1.19613,0.05,42.3949,,3.45636,5.57,5.05254,0.61222336,0.61222336,0.038904888,,3.28393,2.294322552,9.7092,104,8.4,10,7.1,1.3,3.6,14,172,293,0.35,46,26,29,23.7,12,2.3,1.48,1.5,6.8,10.9,6.2
318,36,158,USAL03,USAL03014,Alabama,3.775256669,1.5414723926380558,23.02099017,485.042,,0.16953,8.05223,,452.258,0.05,loamy sand,0.24192,,,0.72511,0.0436,,46.14,,38.9337,,33.5019,,58.6819,,,1.26341,0.10074,31.9693,,3.26445,5.56,4.55402,1.091911312,1.091911312,0.08807118,,1.3566,2.645798341,7.586399999999999,107,7.1,4.6,6.3,0.8,3.2,8,195,286,0.31,51,26,28,18.9,9,1.8,0.73,1.4,6.9,11.2,7.5
313,36,157,USAL03,USAL03015,Alabama,3.499358003,1.5185898468976458,24.37516606,577.154,,0.55862,8.89109,,382.911,0.05,loamy sand,0.29161,,,0.78725,0.0374,,49.5993,,55.106,,29.9718,,66.994,,,1.85999,0.05,37.5192,,3.76616,5.49,5.2971,0.975402174,0.975402174,0.052899254,,1.03919,2.313707585,9.6744,111,3.8,7.8,3.4,0.4,3.6,11,257,239,0.39,65,37,30,21.6,8,2,0.63,1.4,6.8,12.3,9.5
314,36,157,USAL03,USAL03016,Alabama,3.114683693,1.467301525,21.95699482,571.371,,0.25534,9.79044,,313.443,0.05,loamy sand,0.27867,,,0.67322,0.033,,43.443,,46.5076,,30.2365,,66.6323,,,1.51933,0.05,18.4594,,3.56738,5.42,4.82241,0.836693654,0.836693654,0.045167818,,0.92153,1.945045674,5.707199999999999,108,4.8,3.1,3.7,1.1,3.3,6,334,190,0.39,91,32,25,23.4,10,2.1,0.65,1.4,6.9,10.7,7.6
330,37,162,USAL04,USAL04001,Alabama,5.344994413,2.4301855943437998,35.98238799,603.972,,0.28622,7.51395,,385.847,0.05,sand loam,0.17329,,,1.38759,0.073,,88.7304,,62.2189,,84.3842,,38.211,,,2.23562,0.11766,61.1039,,3.37419,4.95,9.32436,1.355088954,1.355088954,0.107,,1.47566,2.801703615,12.249600000000001,160,6.6,11.7,4.5,2.2,5.3,17,395,212,0.5,147,35,64,13.7,10,4,0.8,2.4,6.7,19.4,14.2
327,37,161,USAL04,USAL04002,Alabama,4.054808748,1.5557142857143003,21.95699482,546.788,0.54688,0.19051,6.20338,,254.767,0.05,loamy sand,0.19219,,,1.88646,0.056,,83.4439,,56.7585,,46.3354,,41.684,,,1.86208,0.10763,66.0652,,2.84408,5.04,7.78137,1.028680391,1.028680391,0.067,,1.2293,1.813603069,7.029599999999999,105,8.9,13.9,6.3,2.6,5,19,317,173,0.83,117,39,45,16.5,11,3.4,0.8,1.8,6.7,12.1,6.9
331,37,162,USAL04,USAL04003,Alabama,5.310510805,3.0545458458889367,27.27697154,688.078,,0.32099,8.82604,,313.754,0.05,sand loam,0.27137,,,1.2041,0.0853,,72.4691,,58.2058,,76.6824,,54.6555,,,2.59462,0.12489,50.3632,,3.13436,4.65,12.42633,1.531276754,1.531276754,0.115,,1.39215,2.368338985,13.467600000000001,176,9.3,7.5,6.2,3.1,4.5,12,386,175,0.38,130,30,61,17.2,11,4.4,0.76,2.6,6.6,18.8,12
328,37,161,USAL04,USAL04004,Alabama,4.177203273,2.6467123287671193,25.8260688,688.965,,0.25638,9.69681,,303.325,0.05,sand loam,0.28322,,,1.29549,0.0475,,73.2943,,46.5287,,66.9849,,52.3455,,,2.91937,0.11272,34.6121,,3.31518,4.82,11.65603,1.16274533,1.16274533,0.088,,0.99955,2.206844908,13.467600000000001,159,7.5,4.8,6,1.5,4.3,9,455,156,0.51,158,25,50,17.8,10,4.9,0.65,2.7,6.6,17.7,13.6
