"","Field","Variable","Mean","Sd","Min","Max"
"1","E1","Organic Matter (%)",4.1,0.436208410943413,3.70823603350103,4.58065285538786
"2","E1","Water Extractable Nitrate Nitrogen (mg/L)",6.5,1.21443173725181,5.24334604052597,7.67220951502959
"3","E1","Water Extractable Organic Carbon (mg/L)",120,19.880895352071,104.119104647929,143.880895352071
"4","E1","Water Extractable Organic Nitrogen (mg/L)",10,2.68007048000193,7.67548507555363,13.0356260355575
"5","E1","WEOC:WEON",12,2.81602556806574,9.61730776526759,15.2493589013991
"6","E1","Water Extractable Ammonium Nitrogen (mg/L)",1.2,1.92988197681735,0,3.15210419903957
"7","E1","CO2 Respiration (mg/L)",110,18.8886209131318,91.9447124202015,129.721954246465
"8","E1","Water Extractable Nitrogen (mg/L)",18,2.85997280484351,15.1622494173787,20.8821950270657
"9","E1","Microbially Active Carbon (%)",91,18.324763148386,72.7530146293918,109.402540926164
"10","E1","Aggstab1_2mm",40,14.1519531435692,25.4036024119864,53.7075086991247
"11","E1","CEC",21,2.46272207120495,18.7706112621284,23.6960554045383
"12","E1","Organic Nitrogen Release (mg/L)",10,2.68007048000193,7.67548507555363,13.0356260355575
"13","E1","H3A Extracted Nitrate (mg/L)",11,1.44173891919137,9.16937219191974,12.0528500303025
"14","E1","H3A Extracted Ammonium (mg/L)",2.8,0.72014659001561,2.0909645210955,3.53125770112672
"15","E1","H3A Extracted Phosphorous (mg/L)",14,4.78132942926035,9.10755945962854,18.6702183181492
"16","E1","H3A Extracted Inorganic Phosphorous (mg/L)",4,2.91094677229095,1.07794211659794,6.89983566117984
"17","E1","H3A Extracted Organic Phosphorous (mg/L)",9.9,1.99687255477159,7.90312744522841,11.8968725547716
"18","E1","H3A Extracted Sulfur (mg/L)",6.3,0.908295106229248,5.39170489377075,7.20829510622925
"19","E1","H3A Extracted Potassium (mg/L)",46,6.90008051482815,39.211030596283,53.0111916259393
"20","E1","H3A Extracted Calcium (mg/L)",470,44.9165893629514,426.416743970382,516.249922696285
"21","E1","H3A Extracted Aluminum (mg/L)",150,16.9443533695184,135.94453551937,169.833242258407
"22","E1","H3A Extracted Iron (mg/L)",84,9.26612708261176,74.8449840284994,93.3772381937229
"23","E1","H3A Extracted Zinc (mg/L)",0.52,0.0900617072407086,0.431049403870402,0.61117281835182
"24","E1","H3A Extracted Copper (mg/L)",0.23,0.135963638930087,0.0929252499588017,0.364852527818976
"25","E1","H3A Extracted Magnesium (mg/L)",100,9.34671659520663,91.7643945159045,110.457827706318
"26","E1","H3A Extracted Sodium (mg/L)",22,5.9791303715507,15.687536295116,27.6457970382174
"27","E1","SoilHealth",14,1.62367723940991,12.6918783161456,15.9392327949655
"28","E1","Carbon (%)",2.4,0.253609541246169,2.15595118226804,2.66317026476038
"29","E1","WEON:WEN",0.57,0.107594446431706,0.466788159795304,0.681977052658715
"30","E2","Organic Matter (%)",4.3,0.23094010767585,4.06905989232415,4.53094010767585
"31","E2","Water Extractable Nitrate Nitrogen (mg/L)",8,1.26348535333625,6.76222893237803,9.28919963905054
"32","E2","Water Extractable Organic Carbon (mg/L)",130,9.53689577128643,123.891675657285,142.965467199858
"33","E2","Water Extractable Organic Nitrogen (mg/L)",12,1.17392301199663,11.2403627022891,13.5882087262823
"34","E2","WEOC:WEON",11,0.84740500240159,9.9383092833127,11.6331192881159
"35","E2","Water Extractable Ammonium Nitrogen (mg/L)",0.78,0.51234753829798,0.26265246170202,1.28734753829798
"36","E2","CO2 Respiration (mg/L)",110,13.9113691086173,97.4457737485256,125.26851196576
"37","E2","Water Extractable Nitrogen (mg/L)",21,1.63590662208773,19.2212362350551,22.4930494792306
"38","E2","Microbially Active Carbon (%)",84,10.4722535892756,73.2420321250101,94.1865393035613
"39","E2","Aggstab1_2mm",52,3.05505046330389,48.9449495366961,55.0550504633039
"40","E2","CEC",24,2.08246648632497,21.617533513675,25.782466486325
"41","E2","Organic Nitrogen Release (mg/L)",12,1.17392301199663,11.2403627022891,13.5882087262823
"42","E2","H3A Extracted Nitrate (mg/L)",13,1.42561599050409,12.0458125809245,14.8970445619327
"43","E2","H3A Extracted Ammonium (mg/L)",2.9,1.06256652452805,1.86600490404338,3.99113795309948
"44","E2","H3A Extracted Phosphorous (mg/L)",17,3.38765264987284,13.46949020727,20.2447955070157
"45","E2","H3A Extracted Inorganic Phosphorous (mg/L)",5.3,2.12826779553791,3.21458934731923,7.47112493839506
"46","E2","H3A Extracted Organic Phosphorous (mg/L)",12,1.44617722683929,10.0681084874464,12.960462941125
"47","E2","H3A Extracted Sulfur (mg/L)",6.7,0.91599542523291,5.75543314619566,7.58742399666148
"48","E2","H3A Extracted Potassium (mg/L)",66,10.6525203814023,55.4903367614549,76.7953775242594
"49","E2","H3A Extracted Calcium (mg/L)",530,61.2994212665915,467.272007304837,589.87084983802
"50","E2","H3A Extracted Aluminum (mg/L)",140,12.2338328690017,122.766167130998,147.233832869002
"51","E2","H3A Extracted Iron (mg/L)",76,7.79804615333378,68.0590967038091,83.6551890104766
"52","E2","H3A Extracted Zinc (mg/L)",0.79,0.185369643582505,0.600344642131781,0.97108392929679
"53","E2","H3A Extracted Copper (mg/L)",0.13,0.0251661147842358,0.104833885215764,0.155166114784236
"54","E2","H3A Extracted Magnesium (mg/L)",110,5.28249580262606,100.003218483088,110.56821008834
"55","E2","H3A Extracted Sodium (mg/L)",19,4.14039335605413,15.002463786803,23.2832504989113
"56","E2","SoilHealth",15,1.06008535146042,13.7113432199682,15.831513922889
"57","E2","Carbon (%)",2.5,0.134267504462702,2.3657324955373,2.6342675044627
"58","E2","WEON:WEN",0.6,0.0598394866260887,0.537224201488478,0.656903174740655
"59","E3","Organic Matter (%)",4.2,0.484767985741633,3.7485653475917,4.71810131907497
"60","E3","Water Extractable Nitrate Nitrogen (mg/L)",6.7,2.4829675345799,4.25258802097566,9.21852309013545
"61","E3","Water Extractable Organic Carbon (mg/L)",140,15.4847595324492,126.070796023106,157.040315088005
"62","E3","Water Extractable Organic Nitrogen (mg/L)",12,2.05311416579249,9.89133027865196,13.9975586102369
"63","E3","WEOC:WEON",12,1.5300689890038,10.4810421221073,13.5411801001149
"64","E3","Water Extractable Ammonium Nitrogen (mg/L)",0.97,0.665832811847939,0.300833854818727,1.63249947851461
"65","E3","CO2 Respiration (mg/L)",120,11.0584557893245,104.219321988453,126.336233567102
"66","E3","Water Extractable Nitrogen (mg/L)",19,3.82702379285929,15.1840873182518,22.8381349039704
"67","E3","Microbially Active Carbon (%)",82,8.89508291136176,73.1715837553049,90.9617495780284
"68","E3","Aggstab1_2mm",52,7.22841614740048,44.4382505192662,58.8950828140671
"69","E3","CEC",21,2.23519822635736,18.5536906625315,23.0240871152463
"70","E3","Organic Nitrogen Release (mg/L)",12,2.05311416579249,9.89133027865196,13.9975586102369
"71","E3","H3A Extracted Nitrate (mg/L)",12,3.48297446317241,8.10591442571648,15.0718633520613
"72","E3","H3A Extracted Ammonium (mg/L)",2.8,0.719374728496908,2.04729193816976,3.48604139516357
"73","E3","H3A Extracted Phosphorous (mg/L)",17,2.63523138347365,14.1425463943041,19.4130091612514
"74","E3","H3A Extracted Inorganic Phosphorous (mg/L)",5.2,1.48529832394409,3.72581278716703,6.6964094350552
"75","E3","H3A Extracted Organic Phosphorous (mg/L)",12,1.27279220613579,10.2938744605309,12.8394588728025
"76","E3","H3A Extracted Sulfur (mg/L)",7.1,0.509356892997871,6.61286532922435,7.63157911522009
"77","E3","H3A Extracted Potassium (mg/L)",61,14.8155323900291,46.1844676099709,75.815532390029
"78","E3","H3A Extracted Calcium (mg/L)",580,53.651136469272,527.126641308506,634.42891424705
"79","E3","H3A Extracted Aluminum (mg/L)",150,17.9567381348742,130.821039642904,166.734515912652
"80","E3","H3A Extracted Iron (mg/L)",74,7.66666666666667,65.8888888888889,81.2222222222222
"81","E3","H3A Extracted Zinc (mg/L)",0.96,0.587149422587168,0.37062835519061,1.54492720036495
"82","E3","H3A Extracted Copper (mg/L)",0.24,0.228223818018872,0.0128872930922393,0.469334929129983
"83","E3","H3A Extracted Magnesium (mg/L)",120,11.5878288638458,108.96772669171,132.143384419401
"84","E3","H3A Extracted Sodium (mg/L)",26,5.29150262212918,20.3751640445375,30.9581692887959
"85","E3","SoilHealth",15,1.12507160265963,14.0660395084515,16.3161827137707
"86","E3","Carbon (%)",2.5,0.281841852175368,2.17939845790215,2.74308216225289
"87","E3","WEON:WEN",0.64,0.0850589336141722,0.550732535489963,0.720850402718308
"88","SS1","Organic Matter (%)",3.2,0.432119512088118,2.81333503336643,3.67757405754266
"89","SS1","Water Extractable Nitrate Nitrogen (mg/L)",15,4.66588781379376,10.0450212771153,19.3767969047029
"90","SS1","Water Extractable Organic Carbon (mg/L)",120,13.8930983519941,103.379628920733,131.165825624721
"91","SS1","Water Extractable Organic Nitrogen (mg/L)",13,3.41304982250612,9.29604108658478,16.122140731597
"92","SS1","WEOC:WEON",9.8,2.5265859105988,7.25523227121938,12.308404092417
"93","SS1","Water Extractable Ammonium Nitrogen (mg/L)",0.95,0.689202437604511,0.260797562395489,1.63920243760451
"94","SS1","CO2 Respiration (mg/L)",100,39.0094300953454,64.5723880864728,142.591248277164
"95","SS1","Water Extractable Nitrogen (mg/L)",28,6.56998685483672,21.3845585997087,34.5245323093822
"96","SS1","Microbially Active Carbon (%)",87,27.2163653975792,60.2199982387845,114.652729033943
"97","SS1","Aggstab1_2mm",44,9.99388702046295,33.906112979537,53.8938870204629
"98","SS1","CEC",18,2.38739112079198,15.3944270610262,20.1692093026102
"99","SS1","Organic Nitrogen Release (mg/L)",13,3.41304982250612,9.29604108658478,16.122140731597
"100","SS1","H3A Extracted Nitrate (mg/L)",24,8.85973527205577,14.7311738188533,32.4506443629649
"101","SS1","H3A Extracted Ammonium (mg/L)",2.7,0.566488385502378,2.12442070540671,3.25739747641147
"102","SS1","H3A Extracted Phosphorous (mg/L)",12,4.2682762115615,8.00445106116577,16.5410034842888
"103","SS1","H3A Extracted Inorganic Phosphorous (mg/L)",3.4,2.44841321527378,0.906132239271678,5.80295866981923
"104","SS1","H3A Extracted Organic Phosphorous (mg/L)",8.9,2.00639885457413,6.91178296360769,10.9245806727559
"105","SS1","H3A Extracted Sulfur (mg/L)",8.7,2.82852354675464,5.907840089609,11.5648871831183
"106","SS1","H3A Extracted Potassium (mg/L)",43,6.42013876938667,36.8525885033406,49.6928660421139
"107","SS1","H3A Extracted Calcium (mg/L)",770,313.502617068966,452.406473840125,1079.41170797806
"108","SS1","H3A Extracted Aluminum (mg/L)",130,14.2075524090022,118.428811227361,146.843916045366
"109","SS1","H3A Extracted Iron (mg/L)",61,10.7930954360141,50.297813654895,71.8840045269232
"110","SS1","H3A Extracted Zinc (mg/L)",0.58,0.10940334048415,0.469687568606759,0.688494249575059
